human,name_hu,alias_hu
http://www.wikidata.org/entity/Q1324,Aníbal Pinto,Aníbal Pinto Garmendia
http://www.wikidata.org/entity/Q1326,Federico Errázuriz Zañartu,Federico Marcos del Rosario Errázuriz Zañartu
http://www.wikidata.org/entity/Q1327,José Joaquín Pérez,José Joaquín Pérez Mascayano
http://www.wikidata.org/entity/Q326,Eduardo Frei Ruiz-Tagle,Eduardo Alfredo Juan Bernardo Frei Ruiz-Tagle
http://www.wikidata.org/entity/Q329,Nicolas Sarkozy,Nicolas Paul Stéphane Sarkozy de Nagy-Bocsa
http://www.wikidata.org/entity/Q1936,Djibril Cissé,Djibril Aruun Cissé
http://www.wikidata.org/entity/Q1331,Manuel Blanco Encalada,Manuel José Blanco y Calvo de Encalada
http://www.wikidata.org/entity/Q1332,Ramón Freire,Ramón Freire Serrano
http://www.wikidata.org/entity/Q1333,Francisco Antonio Pinto,Francisco Antonio Pinto y Díaz de la Puente
http://www.wikidata.org/entity/Q331,Ricardo Lagos,Ricardo Froilán Lagos Escobar
http://www.wikidata.org/entity/Q360,Julian Assange,Julian Paul Assange
http://www.wikidata.org/entity/Q1958,Vreni Schneider,"Verena ""Vreni"" Schneider"
http://www.wikidata.org/entity/Q1958,Vreni Schneider,Verena Schneider
http://www.wikidata.org/entity/Q1943,Abou Diaby,Vassiriki Abou Diaby
http://www.wikidata.org/entity/Q1945,Benjamin Raich,Beni Raich
http://www.wikidata.org/entity/Q4227,James Coburn,James Harrison Coburn III
http://www.wikidata.org/entity/Q4227,James Coburn,"James Harrison Coburn, Jr."
http://www.wikidata.org/entity/Q1429,Antoninus Pius római császár,Antoninus Pius
http://www.wikidata.org/entity/Q1429,Antoninus Pius római császár,Imperator Titus Aelius Caesar Hadrianus Antoninus Augustus Pius
http://www.wikidata.org/entity/Q1429,Antoninus Pius római császár,Titus Aurelius Fulvus Boionius Arrius Antoninus
http://www.wikidata.org/entity/Q714,Stevie Wonder,Steveland Hardaway Judkins Morris
http://www.wikidata.org/entity/Q4323,Aacheni Albert,Albertus Aquensis
http://www.wikidata.org/entity/Q335,Patricio Aylwin,Patricio Aylwin Azócar
http://www.wikidata.org/entity/Q1427,Hadrianus római császár,Hadrianus
http://www.wikidata.org/entity/Q1427,Hadrianus római császár,Imperator Caesar Traianus Hadrianus Augustus
http://www.wikidata.org/entity/Q1427,Hadrianus római császár,Publius Aelius Hadrianus
http://www.wikidata.org/entity/Q346,IX. Lajos francia király,Szent Lajos
http://www.wikidata.org/entity/Q346,IX. Lajos francia király,IX. (Szent) Lajos
http://www.wikidata.org/entity/Q368,Augusto Pinochet,Augusto José Ramón Pinochet Ugarte
http://www.wikidata.org/entity/Q1993,Kisimoto Maszasi,Masashi Kishimoto
